Interpretation of file:
Double exclamation mark (!!) marks the ID of weapon, e.g. !!00
ID is separated from weapon object information by tilde (~)
Weapon object information is found on same line, separated by forward slashes (/)
Template for weapon object as below:
!!{ID}~{image_name}/{name}/{*attack_ids}

Character weapons:
!!Sw~sword/Sword/Sl/Di/Ha/Lu
!!Bo~bow/Bow/Sh/PS/SS/Ts
!!Dg~daggers/Daggers/Fs/Bs/Ss/TD
!!Sb~spellbook/Spellbook/Zp/Ib/Fb/Th

Turning circle:
!!bk~bus_keys/Bus Keys/sc/ji
!!si~sbw_insight/SB&W insight/wh/sm/pc
!!rb~rugby_ball/Rugby ball/ki/rt
!!st~stick/Stick/po
!!ro~rock/Rock/tr

Music centre:
!!VI~violin/Violin/Vi/Dv/Tu
!!Vi~viola/Viola/Vi/Dv/Tu
!!Ce~cello/Cello/Vi/Dv/Tu
!!Db~double_bass/Double Bass/Vi/Dv/Tu
!!Tb~trombone/Trombone/Tc/Jz/Tu
!!Tp~trumpet/Trumpet/Tc/Jz/Tu
!!Pi~piano/Piano/LC/FE

South block:
!!ph~phone/Phone/tp
!!la~laptop/Laptop/tl
!!Zh~zhangs_homework/Zhang's homework/hc
!!Dd~dr_du_homework/Dr Du homework/hm
!!Va/vape/Vape/va

Ianni's classroom:
!!WC~whiteboard_cleaner/Whiteboard Cleaner/rs/js
!!AH~aquarium_hourglass/Aquarium Hourglass/hy
